,Dataset 1,Dataset 1 N,Dataset 3b,Dataset 3b N,Dataset 3a,Dataset 3a N,Dataset 4,Dataset 4 N
,,,JUDIA PERONA,JUDIA VERDE,LOMBARDA,,Fresh sloes(1988-2500),
,,,JUDIAS SIN DETERMINAR,JUDIA VERDE,MACHE,,"Fresh sour cherries ""Prunus cerasus""(2012-2500)",
,,,LECHUGA ICEBERG,LECHUGA,MAIZ,,Fresh strawberries(2000-2500),FRESON
,,,LECHUGA LARGA,LECHUGA,MANDARINAS,MANDARINA,Fresh sweet oranges (excl. navel and white oranges)(2017-2500),NARANJA
,,,LECHUGA SIN DETERMINAR,LECHUGA,MANGA,,Fresh table grapes(1998-2500),
,,,LICHIS,,MANGOS,,Fresh watermelons(1996-2500),SANDIA
,,,LIMA,,MANGOSTAN,,Fresh white oranges(2017-2500),NARANJA
,,,LIMON,LIMON,MANZANAS,MANZANA,Garlic. fresh or chilled(1988-2500),AJO
,,,MANDARINA CLEMENTINA,MANDARINA,MARACUYA,,Onions. fresh or chilled (excl. sets)(1988-2500),CEBOLLA
,,,MANDARINA SATSUMA,MANDARINA,MELOCOTONES,,Plantains. fresh(2012-2500),
,,,MANDARINAS SIN DETER.,MANDARINA,MELONES,MELON,Potatoes for manufacture of starch. fresh or chilled(1988-2500),PATATAS
,,,MANGOS,,MEMBRILLOS,,Potatoes. fresh or chilled (excl. new potatoes from 1 January to 30 June. seed potatoes and potatoes for manufacture of starch)(1988-2500),PATATAS
,,,MANZANA AMARILLA GOLDEN,MANZANA,MORAS,,Shallots. fresh or chilled(1988-2500),
,,,MANZANA BICOLOR,MANZANA,NABOS,,Sultanas(2005-2500),
,,,MANZANA ROJA,MANZANA,NARANJAS,NARANJA,Tomatoes. fresh or chilled(1998-2500),TOMATE
,,,MANZANA VERDE GRANNY SMITH,MANZANA,NASHI,,White and red cabbages. fresh or chilled(1988-2500),
,,,MANZANAS SIN DETERMINAR,MANZANA,NECTARINAS,,,
,,,MARACUYA,,NISPEROS,,,
,,,MAIZ,,NUECES,,,
,,,MELOCOTONES ROJOS P.AMARILLA,,OCRA,,,
,,,MELOCOTON AMARILLO,,PAPAYA GIGANTE,,,
,,,MELOCOTON ROJO P.BLANCA,,PAPAYOS,,,
,,,MEMBRILLO,,PARAGUAYAS,,,
,,,MENESTRA,,PATATAS,PATATAS,,
,,,NABO,,PEPINOS,PEPINO,,
,,,NARANJA,NARANJA,PERAS,,,
,,,NASHIS,,PEREJIL,,,
,,,NECTARINA PULPA AMARILLA,,PERETAS,,,
,,,NECTARINA PULPA BLANCA,,PIMIENTAS,,,
,,,NISCALOS,,PIMIENTOS,PIMIENTO,,
,,,NISPERO,,PITAHAYA,,,
,,,PAPAYAS,,PIÑAS,,,
,,,PATATA BLANCA CALIDAD MONA LISA,PATATAS,PLATANOS,,,
,,,PATATA ROJA,PATATAS,POMELOS,,,
,,,PEPINO,PEPINO,PRECOCIDOS VEGETALES,,,
,,,PERA BLANQUILLA,,PUERROS,,,
,,,PERA DE INVIERNO,,QUINTA GAMA ,,,
,,,PERA DE VERANO,,RABANILLAS,,,
,,,PERA TEMPRANA,,RABANOS,,,
,,,PEREJIL,,RAMBUTAN,,,
,,,PIMIENTO LAMUYO,,REMOLACHA,,,
,,,PIMIENTO ROJO,PIMIENTO,RESTO DE FRUTAS,,,
,,,PIMIENTO VERDE ITALIANO,PIMIENTO,RESTO HORTALIZAS,,,
,,,PITAHAYA,,ROMANESCU,,,
,,,POMELO,,SANDIAS,SANDIA,,
,,,PUERROS,,SETAS,,,
,,,RAMBUTAN,,TABELLA,,,
,,,REMOLACHA,,TAMARINDO,,,
,,,RABANOS,,TIRABEQUES,,,
,,,SECO ALMENDRAS,,TOMATES,TOMATE,,
,,,SECO AVELLANAS,,UVAS,,,
,,,SECO CASTAÑAS,,YUCA,,,
,,,SECO NUECES,,ZANAHORIAS,ZANAHORIA,,
,,,SETAS SIN DETERMINAR,,ÑAME O YAME,,,
,,,TOMATE MADURO,TOMATE,,,,
,,,TOMATE VERDE,TOMATE,,,,
,,,VARIOS,,,,,
,,,VERDURAS OTRAS,,,,,
,,,ZANAHORIA,ZANAHORIA,,,,
